segment,K,lags,lambda_f,lambda_x,lambda_w,alpha,eta,rmse,runtime
0,1,[1],0.1,0.1,0.1,100,0.1,0.8558274943327089,3.049837827682495
1,1,[1],0.1,0.1,0.1,100,0.1,0.9380517802489043,3.1445868015289307
2,1,[1],0.1,0.1,0.1,100,0.1,0.4740019071498022,3.08772349357605
3,1,[1],0.1,0.1,0.1,100,0.1,3.528282743446244,2.872314214706421
4,1,[1],0.1,0.1,0.1,100,0.1,1.7388390455578213,2.8473808765411377
5,1,[1],0.1,0.1,0.1,100,0.1,1.453881823465869,2.7606115341186523
6,1,[1],0.1,0.1,0.1,100,0.1,1.1080944319467627,2.8992416858673096
7,1,[1],0.1,0.1,0.1,100,0.1,1.0297731820889346,2.7775657176971436
8,2,[1],0.1,0.1,0.1,100,0.1,0.618875700290015,3.2552895545959473
9,1,[1],0.1,0.1,0.1,100,0.1,0.6333852664122458,2.897247076034546
10,1,[1],0.1,0.1,0.1,100,0.1,1.0894640336158685,2.9790284633636475
11,1,[1],0.1,0.1,0.1,100,0.1,1.0222144964305078,2.91619610786438
12,1,[1],0.1,0.1,0.1,100,0.1,0.9577216599272486,2.980024576187134
13,1,[1],0.1,0.1,0.1,100,0.1,1.1476975259274638,2.8782970905303955
14,2,[1],0.1,0.1,0.1,100,0.1,0.7839328207862475,3.224371910095215
15,1,[1],0.1,0.1,0.1,100,0.1,1.6659027423519424,2.835411787033081
16,2,[1],0.1,0.1,0.1,100,0.1,0.7500164270391219,3.200434923171997
17,1,[1],0.1,0.1,0.1,100,0.1,1.0555828979924613,2.806490182876587
18,1,[1],0.1,0.1,0.1,100,0.1,0.7845572885850302,2.9760358333587646
19,4,[1],0.1,0.1,0.1,100,0.1,0.4025775161937721,3.3809518814086914
20,1,[1],0.1,0.1,0.1,100,0.1,0.8093208080601494,2.8862733840942383
21,1,[1],0.1,0.1,0.1,100,0.1,0.8678744905939393,3.0189218521118164
22,1,[1],0.1,0.1,0.1,100,0.1,0.9850042279428471,2.8673274517059326
23,2,[1],0.1,0.1,0.1,100,0.1,1.7901594469625417,3.239331007003784
24,1,[1],0.1,0.1,0.1,100,0.1,0.6543518253256149,2.8394010066986084
25,2,[1],0.1,0.1,0.1,100,0.1,0.7566617022155055,3.253293514251709
26,1,[1],0.1,0.1,0.1,100,0.1,1.0526839458657213,2.7935242652893066
27,2,[1],0.1,0.1,0.1,100,0.1,2.9651356272393383,3.295182704925537
28,2,[1],0.1,0.1,0.1,100,0.1,0.5903686306764218,3.219386100769043
29,2,[1],0.1,0.1,0.1,100,0.1,1.3213553831159375,3.309145927429199
30,2,[1],0.1,0.1,0.1,100,0.1,0.7306069721429563,3.323107957839966
31,1,[1],0.1,0.1,0.1,100,0.1,1.7394488480473262,3.9314792156219482
0,1,[1],0.1,0.1,0.1,100,1.0,0.8576461122777262,3.0977110862731934
1,1,[1],0.1,0.1,0.1,100,1.0,0.9402436618280001,3.0059542655944824
2,1,[1],0.1,0.1,0.1,100,1.0,0.473981582206711,2.8952524662017822
3,1,[1],0.1,0.1,0.1,100,1.0,2.9914061413355317,2.952101230621338
4,1,[1],0.1,0.1,0.1,100,1.0,1.7395658016545619,2.905225992202759
5,1,[1],0.1,0.1,0.1,100,1.0,1.4639948551832827,2.9481117725372314
6,1,[1],0.1,0.1,0.1,100,1.0,1.0828008629270156,2.896249771118164
7,1,[1],0.1,0.1,0.1,100,1.0,1.0285524675808255,2.987008571624756
8,2,[1],0.1,0.1,0.1,100,1.0,0.64925818736485,3.3649966716766357
9,1,[1],0.1,0.1,0.1,100,1.0,0.6335357780081912,2.87829852104187
10,1,[1],0.1,0.1,0.1,100,1.0,1.099955134276009,2.9241750240325928
11,1,[1],0.1,0.1,0.1,100,1.0,1.0154880693334662,2.9102134704589844
12,1,[1],0.1,0.1,0.1,100,1.0,0.8390775458001201,2.8932578563690186
13,1,[1],0.1,0.1,0.1,100,1.0,1.4147907197166245,2.9560890197753906
14,2,[1],0.1,0.1,0.1,100,1.0,1.6199876002800906,3.371975898742676
15,1,[1],0.1,0.1,0.1,100,1.0,1.6738468687510892,3.118654727935791
16,2,[1],0.1,0.1,0.1,100,1.0,0.6836312079307726,3.5814168453216553
17,1,[1],0.1,0.1,0.1,100,1.0,0.9537022215010826,2.8703198432922363
18,1,[1],0.1,0.1,0.1,100,1.0,0.8026603949021772,3.138601303100586
19,4,[1],0.1,0.1,0.1,100,1.0,0.4327691191490192,3.9843389987945557
20,1,[1],0.1,0.1,0.1,100,1.0,0.9322461516900925,2.892259359359741
21,1,[1],0.1,0.1,0.1,100,1.0,0.8770425921042587,2.9082181453704834
22,1,[1],0.1,0.1,0.1,100,1.0,0.9858032839577114,2.8653345108032227
23,2,[1],0.1,0.1,0.1,100,1.0,1.8565763865704077,3.5804195404052734
24,1,[1],0.1,0.1,0.1,100,1.0,0.6576265600084025,2.8713161945343018
25,2,[1],0.1,0.1,0.1,100,1.0,0.8700314626538128,3.510605812072754
26,1,[1],0.1,0.1,0.1,100,1.0,0.9282369252537218,2.8403995037078857
27,2,[1],0.1,0.1,0.1,100,1.0,1.4927919439449133,3.4756996631622314
28,2,[1],0.1,0.1,0.1,100,1.0,0.5934345324005824,3.798835515975952
29,2,[1],0.1,0.1,0.1,100,1.0,0.859333648885382,3.5564827919006348
30,2,[1],0.1,0.1,0.1,100,1.0,0.7620403063032057,3.609342336654663
